fen,analysis_url,elo,type
8/8/p6p/2Bk2p1/1P1P1pPP/2b2P2/5K2/8 b - - 0 42,https://lichess.org/analysis/8/8/p6p/2Bk2p1/1P1P1pPP/2b2P2/5K2/8_b_-_-_0_42,1200,offensive
2r3k1/1p1r2p1/p2P4/5p2/3Rp1q1/4Q1Pp/PP3P1P/3R2K1 b - - 4 28,https://lichess.org/analysis/2r3k1/1p1r2p1/p2P4/5p2/3Rp1q1/4Q1Pp/PP3P1P/3R2K1_b_-_-_4_28,1533,defensive
6R1/4b2p/2P2p1k/3B4/5P2/2r4b/5B1P/6K1 w - - 11 44,https://lichess.org/analysis/6R1/4b2p/2P2p1k/3B4/5P2/2r4b/5B1P/6K1_w_-_-_11_44,1167,defensive
4rk2/1R3pp1/4p2p/3pP3/5BP1/1P2P1K1/5P1P/4n3 b - - 4 37,https://lichess.org/analysis/4rk2/1R3pp1/4p2p/3pP3/5BP1/1P2P1K1/5P1P/4n3_b_-_-_4_37,1233,offensive
1r1r4/p4Qpk/3N3p/2q5/8/7P/P1P2PP1/4R1K1 w - - 0 26,https://lichess.org/analysis/1r1r4/p4Qpk/3N3p/2q5/8/7P/P1P2PP1/4R1K1_w_-_-_0_26,967,defensive
6k1/1p1r2p1/p2P4/5p2/3Rp1q1/4Q1Pp/PPr2P1P/3R2K1 w - - 5 29,https://lichess.org/analysis/6k1/1p1r2p1/p2P4/5p2/3Rp1q1/4Q1Pp/PPr2P1P/3R2K1_w_-_-_5_29,1533,offensive
1rb2r1k/5Pp1/p2p1N1p/1p1p3R/5P2/4P3/PP2K1R1/8 b - - 1 25,https://lichess.org/analysis/1rb2r1k/5Pp1/p2p1N1p/1p1p3R/5P2/4P3/PP2K1R1/8_b_-_-_1_25,867,defensive
6k1/p4qpp/1np1np2/3p1N1N/1p1P2P1/1P4Q1/2P2PPK/8 b - - 4 32,https://lichess.org/analysis/6k1/p4qpp/1np1np2/3p1N1N/1p1P2P1/1P4Q1/2P2PPK/8_b_-_-_4_32,1500,defensive
8/4qp1p/4p1pk/3P4/4Pn2/5P2/PQ3P1P/2R3K1 w - - 1 33,https://lichess.org/analysis/8/4qp1p/4p1pk/3P4/4Pn2/5P2/PQ3P1P/2R3K1_w_-_-_1_33,1600,defensive
8/8/6R1/7p/3p3P/1R2pkP1/r7/4K3 b - - 0 53,https://lichess.org/analysis/8/8/6R1/7p/3p3P/1R2pkP1/r7/4K3_b_-_-_0_53,1033,offensive
7k/p5p1/6rp/3q4/P1RQ4/1P4rP/5P2/4R1K1 w - - 0 37,https://lichess.org/analysis/7k/p5p1/6rp/3q4/P1RQ4/1P4rP/5P2/4R1K1_w_-_-_0_37,1000,defensive
6k1/p4q1p/1np1npp1/3p1N1N/1p1P2P1/1P4Q1/2P2PPK/8 w - - 0 33,https://lichess.org/analysis/6k1/p4q1p/1np1npp1/3p1N1N/1p1P2P1/1P4Q1/2P2PPK/8_w_-_-_0_33,1500,offensive
2kr4/p4Rpp/3Rp3/8/4B3/2b1P3/r5PP/6K1 w - - 2 23,https://lichess.org/analysis/2kr4/p4Rpp/3Rp3/8/4B3/2b1P3/r5PP/6K1_w_-_-_2_23,833,offensive
8/8/6p1/6Rp/3p3P/1R2pkP1/r7/4K3 w - - 8 53,https://lichess.org/analysis/8/8/6p1/6Rp/3p3P/1R2pkP1/r7/4K3_w_-_-_8_53,1033,defensive
8/5p2/5p1p/1p1k1P2/6P1/b1P2K1P/5N2/8 w - - 4 34,https://lichess.org/analysis/8/5p2/5p1p/1p1k1P2/6P1/b1P2K1P/5N2/8_w_-_-_4_34,900,defensive
5Q2/1pp4p/p2pBpp1/3P3k/1P5P/2q5/5KP1/8 w - - 1 42,https://lichess.org/analysis/5Q2/1pp4p/p2pBpp1/3P3k/1P5P/2q5/5KP1/8_w_-_-_1_42,1100,offensive
2r4k/p3p2p/5bp1/2B5/2R2P2/1P5P/r1P3P1/4R1K1 b - - 0 37,https://lichess.org/analysis/2r4k/p3p2p/5bp1/2B5/2R2P2/1P5P/r1P3P1/4R1K1_b_-_-_0_37,1367,offensive
k7/1pQ5/q1p5/2Pp2P1/3Pp3/1K2P3/p4r2/7R b - - 7 45,https://lichess.org/analysis/k7/1pQ5/q1p5/2Pp2P1/3Pp3/1K2P3/p4r2/7R_b_-_-_7_45,1400,defensive
5R2/6rk/2p1p1p1/3bQ2p/P2P3q/4KP2/2B5/8 b - - 9 46,https://lichess.org/analysis/5R2/6rk/2p1p1p1/3bQ2p/P2P3q/4KP2/2B5/8_b_-_-_9_46,1467,defensive
4k3/1p4Q1/2p1p1P1/3pP3/1q1P4/r7/6P1/B4nK1 w - - 1 38,https://lichess.org/analysis/4k3/1p4Q1/2p1p1P1/3pP3/1q1P4/r7/6P1/B4nK1_w_-_-_1_38,1267,offensive
