fen,analysis_url,elo,type
8/6bk/7p/5p2/4Q1P1/8/5PK1/8 b - - 0 56,https://lichess.org/analysis/8/6bk/7p/5p2/4Q1P1/8/5PK1/8_b_-_-_0_56,1233,offensive
r2qk2r/ppp1b1pp/2n1Qn2/3p2B1/3P4/8/PPP2PPP/RN2KB1R b KQkq - 2 9,https://lichess.org/analysis/r2qk2r/ppp1b1pp/2n1Qn2/3p2B1/3P4/8/PPP2PPP/RN2KB1R_b_KQkq_-_2_9,1100,offensive
2rr3k/1p5p/p6R/P3bPQ1/2qNp1K1/2P5/1P6/R7 b - - 0 34,https://lichess.org/analysis/2rr3k/1p5p/p6R/P3bPQ1/2qNp1K1/2P5/1P6/R7_b_-_-_0_34,1467,defensive
r1bqk2r/pp1n2pp/3bpn2/3pN3/3Q1P2/6P1/PPP3BP/RNB2RK1 w kq - 1 11,https://lichess.org/analysis/r1bqk2r/pp1n2pp/3bpn2/3pN3/3Q1P2/6P1/PPP3BP/RNB2RK1_w_kq_-_1_11,1000,defensive
r2qkbnr/pQ1n1ppp/4p3/1B3b2/3P4/5p2/PP3PPP/RNB1K2R w KQkq - 0 9,https://lichess.org/analysis/r2qkbnr/pQ1n1ppp/4p3/1B3b2/3P4/5p2/PP3PPP/RNB1K2R_w_KQkq_-_0_9,1133,offensive
r5k1/2R2pp1/7p/4p3/3p4/1P4P1/q1Q2P1P/6K1 w - - 0 34,https://lichess.org/analysis/r5k1/2R2pp1/7p/4p3/3p4/1P4P1/q1Q2P1P/6K1_w_-_-_0_34,1533,offensive
2r2rk1/pp5p/8/3pNB2/5K2/7P/P6P/5R2 b - - 2 32,https://lichess.org/analysis/2r2rk1/pp5p/8/3pNB2/5K2/7P/P6P/5R2_b_-_-_2_32,1300,offensive
rnb2rk1/ppp2ppp/3p4/5q2/3b4/PB1P1N1P/1PP2PP1/R1BQ1R1K b - - 3 14,https://lichess.org/analysis/rnb2rk1/ppp2ppp/3p4/5q2/3b4/PB1P1N1P/1PP2PP1/R1BQ1R1K_b_-_-_3_14,833,defensive
6k1/p1q2ppp/3p4/1P4P1/rnP2P2/3P3P/1P1Q4/1K1RR3 b - - 2 26,https://lichess.org/analysis/6k1/p1q2ppp/3p4/1P4P1/rnP2P2/3P3P/1P1Q4/1K1RR3_b_-_-_2_26,1433,offensive
5rk1/np3N1p/4p1p1/pP2P3/PbqPp3/5Q1P/4N1P1/5R1K w - - 0 26,https://lichess.org/analysis/5rk1/np3N1p/4p1p1/pP2P3/PbqPp3/5Q1P/4N1P1/5R1K_w_-_-_0_26,1267,defensive
2r3k1/p2r1pp1/1pb1p2p/1n2P3/8/7P/PP3KP1/1BRRB3 w - - 5 34,https://lichess.org/analysis/2r3k1/p2r1pp1/1pb1p2p/1n2P3/8/7P/PP3KP1/1BRRB3_w_-_-_5_34,1600,offensive
rq3rk1/p3bppp/2P1pn2/Q2pN3/2P2B2/6P1/PP2PP1P/RN2K2R b KQ - 2 20,https://lichess.org/analysis/rq3rk1/p3bppp/2P1pn2/Q2pN3/2P2B2/6P1/PP2PP1P/RN2K2R_b_KQ_-_2_20,1200,offensive
r6r/pb2qkp1/1p2ppR1/3p3Q/2p5/8/PPP2PPP/R5K1 w - - 4 24,https://lichess.org/analysis/r6r/pb2qkp1/1p2ppR1/3p3Q/2p5/8/PPP2PPP/R5K1_w_-_-_4_24,1333,offensive
5rk1/np5p/4p1pN/pP2P3/PbqPp3/5Q1P/4N1P1/5R1K b - - 1 26,https://lichess.org/analysis/5rk1/np5p/4p1pN/pP2P3/PbqPp3/5Q1P/4N1P1/5R1K_b_-_-_1_26,1267,offensive
r5k1/2R2pp1/7p/q3p3/3p4/1P4P1/P1Q2P1P/6K1 b - - 5 33,https://lichess.org/analysis/r5k1/2R2pp1/7p/q3p3/3p4/1P4P1/P1Q2P1P/6K1_b_-_-_5_33,1533,defensive
8/6bk/7p/5p2/4q1P1/3Q4/5PK1/8 w - - 1 56,https://lichess.org/analysis/8/6bk/7p/5p2/4q1P1/3Q4/5PK1/8_w_-_-_1_56,1233,defensive
6k1/p1q2ppp/3p4/1P4P1/rnP2P2/3P3P/1P1Q4/1K1R3R w - - 1 26,https://lichess.org/analysis/6k1/p1q2ppp/3p4/1P4P1/rnP2P2/3P3P/1P1Q4/1K1R3R_w_-_-_1_26,1433,defensive
4r1k1/8/pRR4B/8/P2P2r1/2P2p2/5P1P/5K2 b - - 0 32,https://lichess.org/analysis/4r1k1/8/pRR4B/8/P2P2r1/2P2p2/5P1P/5K2_b_-_-_0_32,1567,offensive
rnbq1rk1/pp2n2P/2p1p3/4b2Q/3P4/2N5/PPP2PP1/R3KB1R b KQ - 0 15,https://lichess.org/analysis/rnbq1rk1/pp2n2P/2p1p3/4b2Q/3P4/2N5/PPP2PP1/R3KB1R_b_KQ_-_0_15,800,defensive
r1n1k2r/pp1b1ppp/4p3/1qb1P3/N2p3P/3Q1P2/PPBB1P2/R3K2R w KQkq - 4 17,https://lichess.org/analysis/r1n1k2r/pp1b1ppp/4p3/1qb1P3/N2p3P/3Q1P2/PPBB1P2/R3K2R_w_KQkq_-_4_17,1033,offensive
rnbqk1nr/ppp2ppp/3b4/3Q4/8/5N2/PPP1PPPP/RNB1KB1R b KQkq - 1 5,https://lichess.org/analysis/rnbqk1nr/ppp2ppp/3b4/3Q4/8/5N2/PPP1PPPP/RNB1KB1R_b_KQkq_-_1_5,967,offensive
2n1bbk1/1pr3p1/4p2p/pP1pP3/Pq1P1R1P/3BP3/1B3QPK/8 w - - 5 32,https://lichess.org/analysis/2n1bbk1/1pr3p1/4p2p/pP1pP3/Pq1P1R1P/3BP3/1B3QPK/8_w_-_-_5_32,1400,offensive
rnb2rk1/ppp2ppp/3p4/7q/3b4/PB1P1N1P/1PP2PP1/R1BQ1R1K w - - 4 15,https://lichess.org/analysis/rnb2rk1/ppp2ppp/3p4/7q/3b4/PB1P1N1P/1PP2PP1/R1BQ1R1K_w_-_-_4_15,833,offensive
7r/p2p4/3k4/3p1R2/1P4p1/6P1/PP3KP1/4R2r w - - 1 35,https://lichess.org/analysis/7r/p2p4/3k4/3p1R2/1P4p1/6P1/PP3KP1/4R2r_w_-_-_1_35,1067,defensive
2r3rk/1p5p/p6R/P3bPQ1/2qNp1K1/2P5/1P6/R7 w - - 1 35,https://lichess.org/analysis/2r3rk/1p5p/p6R/P3bPQ1/2qNp1K1/2P5/1P6/R7_w_-_-_1_35,1467,offensive
1rbk1bnr/1p1p1ppp/p2q2n1/3N4/5P2/3QB3/PPP3PP/R3KB1R b KQ - 1 15,https://lichess.org/analysis/1rbk1bnr/1p1p1ppp/p2q2n1/3N4/5P2/3QB3/PPP3PP/R3KB1R_b_KQ_-_1_15,867,defensive
rnbqkbnr/pppp2pp/8/4N3/2B1pp2/8/PPPP2PP/RNBQK2R b KQkq - 1 5,https://lichess.org/analysis/rnbqkbnr/pppp2pp/8/4N3/2B1pp2/8/PPPP2PP/RNBQK2R_b_KQkq_-_1_5,1500,defensive
rnbqkb1r/pp2pppp/2p5/3nN3/3Pp3/1B6/PPP2PPP/RNBQK2R b KQkq - 5 6,https://lichess.org/analysis/rnbqkb1r/pp2pppp/2p5/3nN3/3Pp3/1B6/PPP2PPP/RNBQK2R_b_KQkq_-_5_6,1167,defensive
r2qkb1r/p4ppp/b2p1n2/2p5/4P3/5N2/PPQ2PPP/RNB1K2R w KQkq - 2 11,https://lichess.org/analysis/r2qkb1r/p4ppp/b2p1n2/2p5/4P3/5N2/PPQ2PPP/RNB1K2R_w_KQkq_-_2_11,900,offensive
r1n1k2r/pp1b1ppp/4p3/2b1P3/Nq1p3P/3Q1P2/PPBB1P2/R3K2R b KQkq - 3 16,https://lichess.org/analysis/r1n1k2r/pp1b1ppp/4p3/2b1P3/Nq1p3P/3Q1P2/PPBB1P2/R3K2R_b_KQkq_-_3_16,1033,defensive
r1bqk2r/pp1n2pp/3bpn2/3pN3/3Q1P2/1P4P1/P1P3BP/RNB2RK1 b kq - 0 11,https://lichess.org/analysis/r1bqk2r/pp1n2pp/3bpn2/3pN3/3Q1P2/1P4P1/P1P3BP/RNB2RK1_b_kq_-_0_11,1000,offensive
r2qkbnr/3b1ppp/p1n1p3/1Np1P3/2Bp4/2P2N2/PP1P1PPP/R1BQ1RK1 b kq - 0 9,https://lichess.org/analysis/r2qkbnr/3b1ppp/p1n1p3/1Np1P3/2Bp4/2P2N2/PP1P1PPP/R1BQ1RK1_b_kq_-_0_9,1367,offensive
r1bqk2r/pp3ppp/2n2n2/4p3/1b2B3/8/PPPBNPPP/RN1QK2R w KQkq - 1 10,https://lichess.org/analysis/r1bqk2r/pp3ppp/2n2n2/4p3/1b2B3/8/PPPBNPPP/RN1QK2R_w_KQkq_-_1_10,933,offensive
4bbk1/npr3p1/4p2p/pP1pP3/Pq1P1R1P/3BP3/1B3QPK/8 b - - 4 31,https://lichess.org/analysis/4bbk1/npr3p1/4p2p/pP1pP3/Pq1P1R1P/3BP3/1B3QPK/8_b_-_-_4_31,1400,defensive
2r2rk1/pp5p/8/3pN3/5K2/3B3P/P6P/5R2 w - - 1 32,https://lichess.org/analysis/2r2rk1/pp5p/8/3pN3/5K2/3B3P/P6P/5R2_w_-_-_1_32,1300,defensive
r1bqkb1r/p4ppp/3p1n2/2p5/4P3/5N2/PPQ2PPP/RNB1K2R b KQkq - 1 10,https://lichess.org/analysis/r1bqkb1r/p4ppp/3p1n2/2p5/4P3/5N2/PPQ2PPP/RNB1K2R_b_KQkq_-_1_10,900,defensive
