fen,analysis_url,elo,type
r2qk2r/pp1bbppp/5n2/1B1p4/3P4/PQ3N2/1P3PPP/R1B1K2R w KQkq - 5 12,https://lichess.org/analysis/r2qk2r/pp1bbppp/5n2/1B1p4/3P4/PQ3N2/1P3PPP/R1B1K2R_w_KQkq_-_5_12,1267,defensive
r2qk2r/pp3pp1/2pbpn1p/3pNb2/3P4/1P1PP3/PBN2PPP/R2QK2R w KQkq - 2 11,https://lichess.org/analysis/r2qk2r/pp3pp1/2pbpn1p/3pNb2/3P4/1P1PP3/PBN2PPP/R2QK2R_w_KQkq_-_2_11,1567,defensive
r3kbnr/ppp2ppp/2n5/4pqN1/2P2P2/3P1P2/PP2Q2P/R1B1KB1R b KQkq - 0 11,https://lichess.org/analysis/r3kbnr/ppp2ppp/2n5/4pqN1/2P2P2/3P1P2/PP2Q2P/R1B1KB1R_b_KQkq_-_0_11,1200,defensive
r2qk1nr/p1pbbpQp/8/8/5P2/8/PPPP2PP/RNB1KB1R b KQkq - 0 9,https://lichess.org/analysis/r2qk1nr/p1pbbpQp/8/8/5P2/8/PPPP2PP/RNB1KB1R_b_KQkq_-_0_9,1600,offensive
rn1qkb1r/pp2ppp1/2p2n2/4N3/2B3bp/8/PPPPNPPP/R1BQK2R b KQkq - 3 8,https://lichess.org/analysis/rn1qkb1r/pp2ppp1/2p2n2/4N3/2B3bp/8/PPPPNPPP/R1BQK2R_b_KQkq_-_3_8,1433,defensive
rn2kb1r/ppp1pppp/5n2/q7/3PN1b1/8/PPPB1PPP/R2QKBNR b KQkq - 4 6,https://lichess.org/analysis/rn2kb1r/ppp1pppp/5n2/q7/3PN1b1/8/PPPB1PPP/R2QKBNR_b_KQkq_-_4_6,1067,defensive
r1bqk2r/ppp4p/2n5/3p1p2/1P1P3b/P1N4N/2P3B1/R1BQ1RK1 w kq - 0 17,https://lichess.org/analysis/r1bqk2r/ppp4p/2n5/3p1p2/1P1P3b/P1N4N/2P3B1/R1BQ1RK1_w_kq_-_0_17,1133,defensive
r2q1rk1/1p1b3p/1pp1pbN1/3n3Q/3PB3/P5P1/1P3P1P/R1B2RK1 b - - 0 17,https://lichess.org/analysis/r2q1rk1/1p1b3p/1pp1pbN1/3n3Q/3PB3/P5P1/1P3P1P/R1B2RK1_b_-_-_0_17,900,defensive
r1bq1rk1/npp1bpp1/3p1n1p/p3p3/2B1P2B/P1NP1N1P/1PP2PP1/R2Q1RK1 w - - 1 11,https://lichess.org/analysis/r1bq1rk1/npp1bpp1/3p1n1p/p3p3/2B1P2B/P1NP1N1P/1PP2PP1/R2Q1RK1_w_-_-_1_11,833,defensive
r1b1r1k1/pp2qpp1/8/2p4p/2PpPn2/1P3P2/PNQ1P1BK/R3N2R w - - 0 22,https://lichess.org/analysis/r1b1r1k1/pp2qpp1/8/2p4p/2PpPn2/1P3P2/PNQ1P1BK/R3N2R_w_-_-_0_22,1300,defensive
2kr1bnr/ppp2ppp/2n5/4pqN1/2P2P2/3P1P2/PP2Q2P/R1B1KB1R w KQ - 1 12,https://lichess.org/analysis/2kr1bnr/ppp2ppp/2n5/4pqN1/2P2P2/3P1P2/PP2Q2P/R1B1KB1R_w_KQ_-_1_12,1200,offensive
r1bq1r1k/pp4bp/2pp2p1/4nnB1/8/2P2NPP/PP2NPB1/R2Q1RK1 b - - 1 13,https://lichess.org/analysis/r1bq1r1k/pp4bp/2pp2p1/4nnB1/8/2P2NPP/PP2NPB1/R2Q1RK1_b_-_-_1_13,1233,offensive
r1bq1r2/pp2bpkp/2n2np1/2pp4/8/1PPB1N2/PBQP1PPP/RN2R1K1 w - - 3 11,https://lichess.org/analysis/r1bq1r2/pp2bpkp/2n2np1/2pp4/8/1PPB1N2/PBQP1PPP/RN2R1K1_w_-_-_3_11,1533,defensive
r2q1rk1/1p1b4/1pp1pbp1/3n3Q/3PB3/P5P1/1P3P1P/R1B2RK1 w - - 0 18,https://lichess.org/analysis/r2q1rk1/1p1b4/1pp1pbp1/3n3Q/3PB3/P5P1/1P3P1P/R1B2RK1_w_-_-_0_18,900,offensive
r2qk1nr/p1pbbppp/8/8/5P2/2Q5/PPPP2PP/RNB1KB1R w KQkq - 3 9,https://lichess.org/analysis/r2qk1nr/p1pbbppp/8/8/5P2/2Q5/PPPP2PP/RNB1KB1R_w_KQkq_-_3_9,1600,defensive
rn1qkb1r/pp2ppp1/2p2n2/4N3/2B4p/8/PPPPbPPP/R1BQK2R w KQkq - 0 9,https://lichess.org/analysis/rn1qkb1r/pp2ppp1/2p2n2/4N3/2B4p/8/PPPPbPPP/R1BQK2R_w_KQkq_-_0_9,1433,offensive
r1bq1rk1/pp1npp1p/2p3p1/4b1B1/P7/2N1Q3/1PP2PPP/2KR1B1R b - - 3 12,https://lichess.org/analysis/r1bq1rk1/pp1npp1p/2p3p1/4b1B1/P7/2N1Q3/1PP2PPP/2KR1B1R_b_-_-_3_12,1367,defensive
r2qkb1r/pp1n1ppp/4p3/1B3b2/3Pp3/4PN2/PP3PPP/R1BQK2R w KQkq - 0 10,https://lichess.org/analysis/r2qkb1r/pp1n1ppp/4p3/1B3b2/3Pp3/4PN2/PP3PPP/R1BQK2R_w_KQkq_-_0_10,1000,defensive
r2qkb1r/pQRn1ppp/3Nb3/8/6n1/4P3/PP1B1PPP/4KBNR b Kkq - 2 16,https://lichess.org/analysis/r2qkb1r/pQRn1ppp/3Nb3/8/6n1/4P3/PP1B1PPP/4KBNR_b_Kkq_-_2_16,1500,offensive
r2qk2r/pp1bbppp/5n2/1B1pN3/3P4/PQ6/1P3PPP/R1B1K2R b KQkq - 6 12,https://lichess.org/analysis/r2qk2r/pp1bbppp/5n2/1B1pN3/3P4/PQ6/1P3PPP/R1B1K2R_b_KQkq_-_6_12,1267,offensive
rn2kb1r/ppp1pppp/1q3n2/8/3PN1b1/8/PPPB1PPP/R2QKBNR w KQkq - 5 7,https://lichess.org/analysis/rn2kb1r/ppp1pppp/1q3n2/8/3PN1b1/8/PPPB1PPP/R2QKBNR_w_KQkq_-_5_7,1067,offensive
r1bq1rk1/1p3ppp/4p3/pB1n4/1n1P4/B3PN2/P4PPP/R2Q1RK1 b - - 1 13,https://lichess.org/analysis/r1bq1rk1/1p3ppp/4p3/pB1n4/1n1P4/B3PN2/P4PPP/R2Q1RK1_b_-_-_1_13,1333,offensive
rn1q1rk1/pp3ppp/2p5/5bb1/B3N3/8/PPPPQ1PP/R1B1R1K1 b - - 0 13,https://lichess.org/analysis/rn1q1rk1/pp3ppp/2p5/5bb1/B3N3/8/PPPPQ1PP/R1B1R1K1_b_-_-_0_13,1100,defensive
rn1qkbnr/1ppb1ppp/p2p4/3Np2Q/2B1P3/8/PPPP1PPP/R1B1K1NR w KQkq - 4 7,https://lichess.org/analysis/rn1qkbnr/1ppb1ppp/p2p4/3Np2Q/2B1P3/8/PPPP1PPP/R1B1K1NR_w_KQkq_-_4_7,1167,offensive
2kr1b1r/pp1q1p1p/n1bp1p2/1Np5/Q7/2N5/PP3PPP/3RKB1R w K - 4 15,https://lichess.org/analysis/2kr1b1r/pp1q1p1p/n1bp1p2/1Np5/Q7/2N5/PP3PPP/3RKB1R_w_K_-_4_15,1400,offensive
r1bq1r1k/pp4bp/2pp2p1/4nn2/8/2P2NPP/PP2NPB1/R1BQ1RK1 w - - 0 13,https://lichess.org/analysis/r1bq1r1k/pp4bp/2pp2p1/4nn2/8/2P2NPP/PP2NPB1/R1BQ1RK1_w_-_-_0_13,1233,defensive
r1bqk2r/ppp4p/2n5/3p1R2/1P1P3b/P1N4N/2P3B1/R1BQ2K1 b kq - 0 17,https://lichess.org/analysis/r1bqk2r/ppp4p/2n5/3p1R2/1P1P3b/P1N4N/2P3B1/R1BQ2K1_b_kq_-_0_17,1133,offensive
r1b1kb1r/2pq1ppp/2n1p3/1B2N3/3Pn3/8/PP3PPP/R1BQK2R b KQkq - 1 11,https://lichess.org/analysis/r1b1kb1r/2pq1ppp/2n1p3/1B2N3/3Pn3/8/PP3PPP/R1BQK2R_b_KQkq_-_1_11,867,defensive
rnbq1rk1/pppp1ppp/8/3Pp3/1b2n3/2NQ4/PPP2PPP/R1B1KBNR w KQ - 0 6,https://lichess.org/analysis/rnbq1rk1/pppp1ppp/8/3Pp3/1b2n3/2NQ4/PPP2PPP/R1B1KBNR_w_KQ_-_0_6,800,offensive
r1bqk2r/pp2ppbp/3p1np1/2p1n1P1/2B1PQ2/3P3P/PPP2P2/RNB1K1NR b KQkq - 2 8,https://lichess.org/analysis/r1bqk2r/pp2ppbp/3p1np1/2p1n1P1/2B1PQ2/3P3P/PPP2P2/RNB1K1NR_b_KQkq_-_2_8,1467,defensive
r1b1r1k1/pp2qpp1/8/2p4p/2PpPn2/1P3P2/P1Q1P1BK/R2NN2R b - - 1 22,https://lichess.org/analysis/r1b1r1k1/pp2qpp1/8/2p4p/2PpPn2/1P3P2/P1Q1P1BK/R2NN2R_b_-_-_1_22,1300,offensive
r1b1kb1r/2p2ppp/2nqp3/1B2N3/3Pn3/8/PP3PPP/R1BQK2R w KQkq - 2 12,https://lichess.org/analysis/r1b1kb1r/2p2ppp/2nqp3/1B2N3/3Pn3/8/PP3PPP/R1BQK2R_w_KQkq_-_2_12,867,offensive
r2qkb1r/pp1n1ppp/4p3/1B2Nb2/3Pp3/4P3/PP3PPP/R1BQK2R b KQkq - 1 10,https://lichess.org/analysis/r2qkb1r/pp1n1ppp/4p3/1B2Nb2/3Pp3/4P3/PP3PPP/R1BQK2R_b_KQkq_-_1_10,1000,offensive
rnbq1rk1/pppp1ppp/5n2/3Pp3/1b2P3/2NQ4/PPP2PPP/R1B1KBNR b KQ - 0 5,https://lichess.org/analysis/rnbq1rk1/pppp1ppp/5n2/3Pp3/1b2P3/2NQ4/PPP2PPP/R1B1KBNR_b_KQ_-_0_5,800,defensive
rn1qr1k1/pp3ppp/2p5/5bb1/B3N3/8/PPPPQ1PP/R1B1R1K1 w - - 1 14,https://lichess.org/analysis/rn1qr1k1/pp3ppp/2p5/5bb1/B3N3/8/PPPPQ1PP/R1B1R1K1_w_-_-_1_14,1100,offensive
rn2kbnr/1ppbqppp/p2p4/3Np2Q/2B1P3/8/PPPP1PPP/R1B1K1NR b KQkq - 3 6,https://lichess.org/analysis/rn2kbnr/1ppbqppp/p2p4/3Np2Q/2B1P3/8/PPPP1PPP/R1B1K1NR_b_KQkq_-_3_6,1167,defensive
r2q1rk1/ppp3pp/3b4/3p4/1P2n1b1/P3PN2/2P1B1PP/R1BQ1RK1 w - - 1 13,https://lichess.org/analysis/r2q1rk1/ppp3pp/3b4/3p4/1P2n1b1/P3PN2/2P1B1PP/R1BQ1RK1_w_-_-_1_13,933,offensive
r1bqr1k1/pp1npp1p/2p3p1/4b1B1/P7/2N1Q3/1PP2PPP/2KR1B1R w - - 4 13,https://lichess.org/analysis/r1bqr1k1/pp1npp1p/2p3p1/4b1B1/P7/2N1Q3/1PP2PPP/2KR1B1R_w_-_-_4_13,1367,offensive
r1bqk2r/pp2ppbp/3p1np1/2p3P1/2n1PQ2/3P3P/PPP2P2/RNB1K1NR w KQkq - 0 9,https://lichess.org/analysis/r1bqk2r/pp2ppbp/3p1np1/2p3P1/2n1PQ2/3P3P/PPP2P2/RNB1K1NR_w_KQkq_-_0_9,1467,offensive
r1bq1rk1/1p3ppp/4p3/p2n4/1n1P4/B2BPN2/P4PPP/R2Q1RK1 w - - 0 13,https://lichess.org/analysis/r1bq1rk1/1p3ppp/4p3/p2n4/1n1P4/B2BPN2/P4PPP/R2Q1RK1_w_-_-_0_13,1333,defensive
