fen,analysis_url,elo,type
r1k2b2/pp1b3p/2p5/2n2B2/8/2P5/PP1N2PP/4RK2 w - - 2 24,https://lichess.org/analysis/r1k2b2/pp1b3p/2p5/2n2B2/8/2P5/PP1N2PP/4RK2_w_-_-_2_24,1467,offensive
r3r1k1/ppp2pp1/7p/7P/3P1q2/1BPQ1N1b/P4P2/R3R1K1 w - - 2 21,https://lichess.org/analysis/r3r1k1/ppp2pp1/7p/7P/3P1q2/1BPQ1N1b/P4P2/R3R1K1_w_-_-_2_21,833,defensive
2k5/1bpp2pp/1p1b4/7q/3N4/3Bn1P1/Q4P1P/6K1 w - - 0 37,https://lichess.org/analysis/2k5/1bpp2pp/1p1b4/7q/3N4/3Bn1P1/Q4P1P/6K1_w_-_-_0_37,1100,offensive
r1k2b2/pp1b3p/2p1n3/5B2/8/2P5/PP1N2PP/4RK2 b - - 1 23,https://lichess.org/analysis/r1k2b2/pp1b3p/2p1n3/5B2/8/2P5/PP1N2PP/4RK2_b_-_-_1_23,1467,defensive
r1b1k2r/1p3ppp/p2bp3/2qN3Q/5B2/P2n4/1PP2PPP/R3R1K1 w kq - 1 15,https://lichess.org/analysis/r1b1k2r/1p3ppp/p2bp3/2qN3Q/5B2/P2n4/1PP2PPP/R3R1K1_w_kq_-_1_15,1067,defensive
7k/pp1n2pB/2pq2Np/3p4/3P2b1/P3r3/1PQ3PP/5RK1 b - - 3 23,https://lichess.org/analysis/7k/pp1n2pB/2pq2Np/3p4/3P2b1/P3r3/1PQ3PP/5RK1_b_-_-_3_23,800,defensive
r6k/pp1qrBp1/3p1bQB/8/8/8/PP3PPP/R5K1 w - - 3 22,https://lichess.org/analysis/r6k/pp1qrBp1/3p1bQB/8/8/8/PP3PPP/R5K1_w_-_-_3_22,967,offensive
3rr1k1/bppn2p1/p2pqnNp/P3pN2/1P2P3/2P3QP/5PP1/R1B1R1K1 b - - 8 21,https://lichess.org/analysis/3rr1k1/bppn2p1/p2pqnNp/P3pN2/1P2P3/2P3QP/5PP1/R1B1R1K1_b_-_-_8_21,867,defensive
3r2k1/ppq2ppp/4b3/3r4/8/4BN2/nP2QPPP/2R3K1 w - - 0 20,https://lichess.org/analysis/3r2k1/ppq2ppp/4b3/3r4/8/4BN2/nP2QPPP/2R3K1_w_-_-_0_20,1300,offensive
3r1rk1/6pp/5p2/1pp2Q2/3P4/2P2N2/qp2R1PP/4R1K1 w - - 0 29,https://lichess.org/analysis/3r1rk1/6pp/5p2/1pp2Q2/3P4/2P2N2/qp2R1PP/4R1K1_w_-_-_0_29,1400,defensive
r1q1brk1/ppp2pp1/2n2b1p/4p3/2P3P1/P1NBBN2/1PQ2P1P/3R1RK1 w - - 0 16,https://lichess.org/analysis/r1q1brk1/ppp2pp1/2n2b1p/4p3/2P3P1/P1NBBN2/1PQ2P1P/3R1RK1_w_-_-_0_16,1167,defensive
r4rk1/pbp2p2/1p2p2q/8/3Q4/P2B2P1/1PP2KP1/R4R2 w - - 1 28,https://lichess.org/analysis/r4rk1/pbp2p2/1p2p2q/8/3Q4/P2B2P1/1PP2KP1/R4R2_w_-_-_1_28,1500,defensive
r4rk1/pp3pp1/1b2b2p/3p4/P1q2n1B/1NP2N1P/1P3PP1/R2QR1K1 w - - 1 22,https://lichess.org/analysis/r4rk1/pp3pp1/1b2b2p/3p4/P1q2n1B/1NP2N1P/1P3PP1/R2QR1K1_w_-_-_1_22,1600,defensive
r1b2k2/2pp1p1P/p1n2qp1/4p3/2P5/2P5/PP5Q/RN2K1bn w Q - 0 20,https://lichess.org/analysis/r1b2k2/2pp1p1P/p1n2qp1/4p3/2P5/2P5/PP5Q/RN2K1bn_w_Q_-_0_20,933,offensive
r2q1kr1/1p2bp1p/2pp4/7P/p2NP1b1/2N5/PPP2QP1/R3KR2 b Q - 1 20,https://lichess.org/analysis/r2q1kr1/1p2bp1p/2pp4/7P/p2NP1b1/2N5/PPP2QP1/R3KR2_b_Q_-_1_20,1200,defensive
r3r2k/pp1q1Bp1/3p1bQB/8/8/8/PP3PPP/R5K1 b - - 2 21,https://lichess.org/analysis/r3r2k/pp1q1Bp1/3p1bQB/8/8/8/PP3PPP/R5K1_b_-_-_2_21,967,defensive
r2q2k1/1pp2pp1/4r2p/p2n4/P7/2N2P2/1P4PP/R2Q1RK1 w - - 0 18,https://lichess.org/analysis/r2q2k1/1pp2pp1/4r2p/p2n4/P7/2N2P2/1P4PP/R2Q1RK1_w_-_-_0_18,1433,defensive
8/1p2n2k/4B1rb/3Pp2Q/1P2qp2/8/3B1PP1/5R1K w - - 7 31,https://lichess.org/analysis/8/1p2n2k/4B1rb/3Pp2Q/1P2qp2/8/3B1PP1/5R1K_w_-_-_7_31,1533,defensive
r1q1brk1/ppp2pp1/2n2b1p/4p1P1/2P5/P1NBBN2/1PQ2P1P/3R1RK1 b - - 0 16,https://lichess.org/analysis/r1q1brk1/ppp2pp1/2n2b1p/4p1P1/2P5/P1NBBN2/1PQ2P1P/3R1RK1_b_-_-_0_16,1167,offensive
2r1r1k1/1b1N1ppp/pBqbp3/1p6/8/P2R1P1P/1PP3P1/R2Q2K1 b - - 14 24,https://lichess.org/analysis/2r1r1k1/1b1N1ppp/pBqbp3/1p6/8/P2R1P1P/1PP3P1/R2Q2K1_b_-_-_14_24,1567,defensive
1r4rk/1p2Rp1Q/p4Pp1/3q4/3p1R2/P2B4/1PP3bP/6K1 b - - 0 29,https://lichess.org/analysis/1r4rk/1p2Rp1Q/p4Pp1/3q4/3p1R2/P2B4/1PP3bP/6K1_b_-_-_0_29,1233,defensive
r1b2k2/2pp1p1P/p1n2qp1/2b1p3/2P5/2P5/PP5Q/RN2K1Nn b Q - 0 19,https://lichess.org/analysis/r1b2k2/2pp1p1P/p1n2qp1/2b1p3/2P5/2P5/PP5Q/RN2K1Nn_b_Q_-_0_19,933,defensive
r2q2k1/1pp2pp1/4r2p/p2N4/P7/5P2/1P4PP/R2Q1RK1 b - - 0 18,https://lichess.org/analysis/r2q2k1/1pp2pp1/4r2p/p2N4/P7/5P2/1P4PP/R2Q1RK1_b_-_-_0_18,1433,offensive
2k5/1bpp2pp/1p1b4/3n3q/3N4/3BB1P1/Q4P1P/6K1 b - - 4 36,https://lichess.org/analysis/2k5/1bpp2pp/1p1b4/3n3q/3N4/3BB1P1/Q4P1P/6K1_b_-_-_4_36,1100,defensive
8/1p2n2k/4B1rb/3Pp2Q/1P2qp2/5P2/3B2P1/5R1K b - - 0 31,https://lichess.org/analysis/8/1p2n2k/4B1rb/3Pp2Q/1P2qp2/5P2/3B2P1/5R1K_b_-_-_0_31,1533,offensive
r2qr1kb/pp2pp1p/2npb1NB/8/2nP4/2NB4/PPQ2PPP/R3K2R b KQ - 0 14,https://lichess.org/analysis/r2qr1kb/pp2pp1p/2npb1NB/8/2nP4/2NB4/PPQ2PPP/R3K2R_b_KQ_-_0_14,1033,defensive
3r2k1/ppq2ppp/4b3/3r4/1n6/4BN2/PP2QPPP/2R3K1 b - - 5 19,https://lichess.org/analysis/3r2k1/ppq2ppp/4b3/3r4/1n6/4BN2/PP2QPPP/2R3K1_b_-_-_5_19,1300,defensive
3r1rk1/6pp/5p2/1pQ5/3P4/2P2N2/qp2R1PP/4R1K1 b - - 0 29,https://lichess.org/analysis/3r1rk1/6pp/5p2/1pQ5/3P4/2P2N2/qp2R1PP/4R1K1_b_-_-_0_29,1400,offensive
1rb2r1k/5pp1/p2qp2p/2p5/PpPn1BQ1/3P4/1P3PPP/R2B1RK1 b - - 8 23,https://lichess.org/analysis/1rb2r1k/5pp1/p2qp2p/2p5/PpPn1BQ1/3P4/1P3PPP/R2B1RK1_b_-_-_8_23,1267,offensive
1r4r1/1p2Rp1k/p4Pp1/3q4/3p1R2/P2B4/1PP3bP/6K1 w - - 0 30,https://lichess.org/analysis/1r4r1/1p2Rp1k/p4Pp1/3q4/3p1R2/P2B4/1PP3bP/6K1_w_-_-_0_30,1233,offensive
r1bq1rk1/p1p2ppp/2pp1b2/4n2Q/4P3/1BN5/PPPB1PPP/R4RK1 b - - 9 12,https://lichess.org/analysis/r1bq1rk1/p1p2ppp/2pp1b2/4n2Q/4P3/1BN5/PPPB1PPP/R4RK1_b_-_-_9_12,1367,offensive
1rb2r1k/5pp1/p2qp2p/2p5/PpPn2Q1/3P4/1P3PPP/R1BB1RK1 w - - 7 23,https://lichess.org/analysis/1rb2r1k/5pp1/p2qp2p/2p5/PpPn2Q1/3P4/1P3PPP/R1BB1RK1_w_-_-_7_23,1267,defensive
r4rk1/pp3pp1/1b2b2p/3pN3/P1q2n1B/1NP4P/1P3PP1/R2QR1K1 b - - 2 22,https://lichess.org/analysis/r4rk1/pp3pp1/1b2b2p/3pN3/P1q2n1B/1NP4P/1P3PP1/R2QR1K1_b_-_-_2_22,1600,offensive
r2q1kr1/1p2bp1p/2pp4/7b/p2NP3/2N5/PPP2QP1/R3KR2 w Q - 0 21,https://lichess.org/analysis/r2q1kr1/1p2bp1p/2pp4/7b/p2NP3/2N5/PPP2QP1/R3KR2_w_Q_-_0_21,1200,offensive
r1bq1rk1/p1p2ppp/2pp1b2/4n2Q/2B1P3/2N5/PPPB1PPP/R4RK1 w - - 8 12,https://lichess.org/analysis/r1bq1rk1/p1p2ppp/2pp1b2/4n2Q/2B1P3/2N5/PPPB1PPP/R4RK1_w_-_-_8_12,1367,defensive
3rr3/bppn2pk/p2pqnNp/P3pN2/1P2P3/2P3QP/5PP1/R1B1R1K1 w - - 9 22,https://lichess.org/analysis/3rr3/bppn2pk/p2pqnNp/P3pN2/1P2P3/2P3QP/5PP1/R1B1R1K1_w_-_-_9_22,867,offensive
r4rk1/pp3pp1/2ppbq1p/4p3/3bP3/1B1P2QP/PPP2PP1/R1B2R1K b - - 3 14,https://lichess.org/analysis/r4rk1/pp3pp1/2ppbq1p/4p3/3bP3/1B1P2QP/PPP2PP1/R1B2R1K_b_-_-_3_14,1000,defensive
r4r2/1p1k1p1R/p2bp3/5q2/4Q3/6PP/P4P2/5RK1 w - - 10 31,https://lichess.org/analysis/r4r2/1p1k1p1R/p2bp3/5q2/4Q3/6PP/P4P2/5RK1_w_-_-_10_31,1133,offensive
8/pp1n2pk/2pq2Np/3p4/3P2b1/P3r3/1PQ3PP/5RK1 w - - 0 24,https://lichess.org/analysis/8/pp1n2pk/2pq2Np/3p4/3P2b1/P3r3/1PQ3PP/5RK1_w_-_-_0_24,800,offensive
2k4r/1r1pQ1Rp/2p1pp2/p1B4q/8/8/P1P2PPP/3R2K1 w - - 1 27,https://lichess.org/analysis/2k4r/1r1pQ1Rp/2p1pp2/p1B4q/8/8/P1P2PPP/3R2K1_w_-_-_1_27,900,defensive
