fen,analysis_url
r2qkbnr/pp3ppp/2n1b3/1Bp1p3/3pP3/P5N1/1PPP1PPP/R1BQK1NR w KQkq - 2 7,https://lichess.org/analysis/r2qkbnr/pp3ppp/2n1b3/1Bp1p3/3pP3/P5N1/1PPP1PPP/R1BQK1NR_w_KQkq_-_2_7
rnbq1r2/pp2n1p1/4p1k1/2bp2N1/6Q1/8/PPP2PPP/RNB2RK1 b - - 3 13,https://lichess.org/analysis/rnbq1r2/pp2n1p1/4p1k1/2bp2N1/6Q1/8/PPP2PPP/RNB2RK1_b_-_-_3_13
rn2kb1r/pQp1pppp/2q2n2/8/3P4/4P3/PP3PPP/R1B1K1NR w KQkq - 3 10,https://lichess.org/analysis/rn2kb1r/pQp1pppp/2q2n2/8/3P4/4P3/PP3PPP/R1B1K1NR_w_KQkq_-_3_10
3rkb1r/ppp1qppp/2p2n2/7b/4P3/2NB1P2/PPP3PP/R1BQ1RK1 w k - 3 10,https://lichess.org/analysis/3rkb1r/ppp1qppp/2p2n2/7b/4P3/2NB1P2/PPP3PP/R1BQ1RK1_w_k_-_3_10
r2qkb1r/pp1b1ppp/2n1pn2/1Bp5/3pP3/3P1N2/PPP1NPPP/R1BQK2R w KQkq - 2 8,https://lichess.org/analysis/r2qkb1r/pp1b1ppp/2n1pn2/1Bp5/3pP3/3P1N2/PPP1NPPP/R1BQK2R_w_KQkq_-_2_8
rn1q1rk1/1ppb1p1p/p4bp1/3N4/3P4/4P3/PP1Q1PPP/1K1R1BNR b - - 0 11,https://lichess.org/analysis/rn1q1rk1/1ppb1p1p/p4bp1/3N4/3P4/4P3/PP1Q1PPP/1K1R1BNR_b_-_-_0_11
rnb1k1nr/pppp1Bpp/1b6/8/3PqB2/5N2/PPP3PP/RN1Q1K1R b kq - 0 8,https://lichess.org/analysis/rnb1k1nr/pppp1Bpp/1b6/8/3PqB2/5N2/PPP3PP/RN1Q1K1R_b_kq_-_0_8
4r1k1/p5b1/2p2r2/3b1Bp1/qp1P4/7Q/P1PK3R/R7 b - - 2 30,https://lichess.org/analysis/4r1k1/p5b1/2p2r2/3b1Bp1/qp1P4/7Q/P1PK3R/R7_b_-_-_2_30
r1bqkb1r/pp3ppp/2n1p3/1B2P3/3Pp3/4B3/PP3PPP/R2QK1NR b KQkq - 0 9,https://lichess.org/analysis/r1bqkb1r/pp3ppp/2n1p3/1B2P3/3Pp3/4B3/PP3PPP/R2QK1NR_b_KQkq_-_0_9
rnbqk2r/pp1pppbp/6p1/2pP4/4n2B/2P2N2/PP2PPPP/RN1QKB1R b KQkq - 0 6,https://lichess.org/analysis/rnbqk2r/pp1pppbp/6p1/2pP4/4n2B/2P2N2/PP2PPPP/RN1QKB1R_b_KQkq_-_0_6
r1bq1rk1/pp2bppn/7p/2p1P3/2B5/2NQ4/PPP3PP/R1B2RK1 w - - 1 13,https://lichess.org/analysis/r1bq1rk1/pp2bppn/7p/2p1P3/2B5/2NQ4/PPP3PP/R1B2RK1_w_-_-_1_13
rnbq1rk1/3pppbp/3P1np1/1pp5/8/1P2P3/PB3PPP/RN1QKBNR w KQ - 0 9,https://lichess.org/analysis/rnbq1rk1/3pppbp/3P1np1/1pp5/8/1P2P3/PB3PPP/RN1QKBNR_w_KQ_-_0_9
r1bqk2r/pp1n1ppp/2n1p3/1BppP3/5B2/4PN2/PPP2PPP/R2QK2R b KQkq - 3 9,https://lichess.org/analysis/r1bqk2r/pp1n1ppp/2n1p3/1BppP3/5B2/4PN2/PPP2PPP/R2QK2R_b_KQkq_-_3_9
r2q1rk1/1b1nbppp/p3p3/6N1/1ppP1Nn1/7Q/PPB2PPP/R1B1K2R b KQ - 7 18,https://lichess.org/analysis/r2q1rk1/1b1nbppp/p3p3/6N1/1ppP1Nn1/7Q/PPB2PPP/R1B1K2R_b_KQ_-_7_18
r1b2rk1/ppp3pp/5nn1/3q1p2/8/P1Q1P2P/1P3PP1/R1B1KBNR w KQ - 1 14,https://lichess.org/analysis/r1b2rk1/ppp3pp/5nn1/3q1p2/8/P1Q1P2P/1P3PP1/R1B1KBNR_w_KQ_-_1_14
8/pk5p/1p6/5p2/1Pnb1P2/8/1n2K1PP/1RB5 b - - 11 41,https://lichess.org/analysis/8/pk5p/1p6/5p2/1Pnb1P2/8/1n2K1PP/1RB5_b_-_-_11_41
r1bqkb1r/pp5p/2p3p1/4p1p1/3n4/1BN2Q2/PPP2PPP/R1B1K2R w KQkq - 2 13,https://lichess.org/analysis/r1bqkb1r/pp5p/2p3p1/4p1p1/3n4/1BN2Q2/PPP2PPP/R1B1K2R_w_KQkq_-_2_13
r1bqk1nr/1pp2pp1/p1nb3p/3Q4/8/5N2/PPP1BPPP/RNB2RK1 b kq - 0 9,https://lichess.org/analysis/r1bqk1nr/1pp2pp1/p1nb3p/3Q4/8/5N2/PPP1BPPP/RNB2RK1_b_kq_-_0_9
r3k1nr/ppp1n1b1/3qp2p/4N1p1/3P1p2/8/PPP3PP/RNBQR1K1 w kq - 0 12,https://lichess.org/analysis/r3k1nr/ppp1n1b1/3qp2p/4N1p1/3P1p2/8/PPP3PP/RNBQR1K1_w_kq_-_0_12
r2qkb1r/p3nppp/2pp4/4p1Bb/B3n3/2P2N1P/PP3PP1/RN1QK2R w KQkq - 0 11,https://lichess.org/analysis/r2qkb1r/p3nppp/2pp4/4p1Bb/B3n3/2P2N1P/PP3PP1/RN1QK2R_w_KQkq_-_0_11
rn3rk1/ppp1b1pp/4R3/3N4/2Nq4/3P4/PP3PPP/R1BQ2K1 b - - 0 13,https://lichess.org/analysis/rn3rk1/ppp1b1pp/4R3/3N4/2Nq4/3P4/PP3PPP/R1BQ2K1_b_-_-_0_13
rn1qkb1r/1bp2pp1/pp2p2p/4P3/6n1/2NB1N2/PPPB1PPP/R2Q1RK1 b kq - 0 10,https://lichess.org/analysis/rn1qkb1r/1bp2pp1/pp2p2p/4P3/6n1/2NB1N2/PPPB1PPP/R2Q1RK1_b_kq_-_0_10
r1bq2nr/1p1kbQ1p/p2ppB2/2P5/4P3/3B4/PP3PPP/RN3RK1 b - - 0 13,https://lichess.org/analysis/r1bq2nr/1p1kbQ1p/p2ppB2/2P5/4P3/3B4/PP3PPP/RN3RK1_b_-_-_0_13
rn3rk1/ppp1qp1p/1b2b2Q/4p3/2BpN3/8/PPP2PPP/RN2K2R w KQ - 1 12,https://lichess.org/analysis/rn3rk1/ppp1qp1p/1b2b2Q/4p3/2BpN3/8/PPP2PPP/RN2K2R_w_KQ_-_1_12
r2q1rk1/ppp3pp/3p4/8/2Pn1p1b/P1NP1P2/1P1KB2P/R1BQ2R1 w - - 3 17,https://lichess.org/analysis/r2q1rk1/ppp3pp/3p4/8/2Pn1p1b/P1NP1P2/1P1KB2P/R1BQ2R1_w_-_-_3_17
2rqk2r/p2nbppp/Q3pn2/8/3P4/3BPN2/1P3PPP/RNB1K2R b KQk - 5 12,https://lichess.org/analysis/2rqk2r/p2nbppp/Q3pn2/8/3P4/3BPN2/1P3PPP/RNB1K2R_b_KQk_-_5_12
3r2kb/pp5p/1q1rb1pB/4p3/2B3P1/P1n2P2/1PPQ4/2KR3R w - - 0 25,https://lichess.org/analysis/3r2kb/pp5p/1q1rb1pB/4p3/2B3P1/P1n2P2/1PPQ4/2KR3R_w_-_-_0_25
rnbq1r1k/pppnb1pp/8/3P2B1/2B5/3P1Q2/PPP2PPP/RN2R1K1 w - - 7 12,https://lichess.org/analysis/rnbq1r1k/pppnb1pp/8/3P2B1/2B5/3P1Q2/PPP2PPP/RN2R1K1_w_-_-_7_12
rnb2rk1/pppp1ppN/1b5q/4P2n/3P1p2/3B4/PPP2NPP/R1BQ1K1R b - - 0 13,https://lichess.org/analysis/rnb2rk1/pppp1ppN/1b5q/4P2n/3P1p2/3B4/PPP2NPP/R1BQ1K1R_b_-_-_0_13
r1b1k1nr/ppp2ppp/2n1p3/3pP3/3P3q/P1P5/2P2PPP/R1BQKBNR w KQkq - 1 7,https://lichess.org/analysis/r1b1k1nr/ppp2ppp/2n1p3/3pP3/3P3q/P1P5/2P2PPP/R1BQKBNR_w_KQkq_-_1_7
rn1qkb1r/2p2pp1/pp2p2p/4P3/6n1/2NB1b2/PPPB1PPP/R2Q1RK1 w kq - 0 11,https://lichess.org/analysis/rn1qkb1r/2p2pp1/pp2p2p/4P3/6n1/2NB1b2/PPPB1PPP/R2Q1RK1_w_kq_-_0_11
rn1qk2r/pp3pp1/2p1p3/2bPP3/2B2P1p/5QP1/PP4PK/RNB2R2 b kq - 0 14,https://lichess.org/analysis/rn1qk2r/pp3pp1/2p1p3/2bPP3/2B2P1p/5QP1/PP4PK/RNB2R2_b_kq_-_0_14
r1b1k2r/ppp1qppp/8/2bp4/3Nn3/2N5/PPP1QPPP/R1B1KB1R w KQkq - 2 9,https://lichess.org/analysis/r1b1k2r/ppp1qppp/8/2bp4/3Nn3/2N5/PPP1QPPP/R1B1KB1R_w_KQkq_-_2_9
r1bq1rk1/1p3ppp/p1np1b2/5p2/3P4/1PN1PN1P/P3BPP1/R2QK2R w KQ - 0 13,https://lichess.org/analysis/r1bq1rk1/1p3ppp/p1np1b2/5p2/3P4/1PN1PN1P/P3BPP1/R2QK2R_w_KQ_-_0_13
1k1r2nr/ppp2pp1/3p1q1p/2b2P2/2BpPB2/2PP4/PP2Q1PP/RN3RK1 b - - 0 14,https://lichess.org/analysis/1k1r2nr/ppp2pp1/3p1q1p/2b2P2/2BpPB2/2PP4/PP2Q1PP/RN3RK1_b_-_-_0_14
r2qkbnr/ppp3pp/2b1pp2/4P3/3B4/1P3N2/P1PP1PPP/RN1QK2R b KQkq - 0 8,https://lichess.org/analysis/r2qkbnr/ppp3pp/2b1pp2/4P3/3B4/1P3N2/P1PP1PPP/RN1QK2R_b_KQkq_-_0_8
r1b1r1k1/p3qpp1/1b5p/2p5/4n3/BBP2N2/P2PQ1PP/RN3RK1 w - - 4 21,https://lichess.org/analysis/r1b1r1k1/p3qpp1/1b5p/2p5/4n3/BBP2N2/P2PQ1PP/RN3RK1_w_-_-_4_21
r1bqkb1r/pp3ppp/2n1p3/2p5/2BP4/2P2Q2/PP4PP/RNB2RK1 b kq - 0 10,https://lichess.org/analysis/r1bqkb1r/pp3ppp/2n1p3/2p5/2BP4/2P2Q2/PP4PP/RNB2RK1_b_kq_-_0_10
rnbq1rk1/pppp4/1N2p2n/4Pp1Q/1b5p/6PB/PPPP1P1P/R1B1K2R b KQ - 0 10,https://lichess.org/analysis/rnbq1rk1/pppp4/1N2p2n/4Pp1Q/1b5p/6PB/PPPP1P1P/R1B1K2R_b_KQ_-_0_10
r1b1k1nr/pp3pp1/2n4p/3pP3/1b1P4/4BN2/PqPN1PPP/R2QKB1R w KQkq - 0 11,https://lichess.org/analysis/r1b1k1nr/pp3pp1/2n4p/3pP3/1b1P4/4BN2/PqPN1PPP/R2QKB1R_w_KQkq_-_0_11
rnb1k2r/pp1p1ppp/1q2pB2/8/4P3/5N2/PPP2bPP/RN1QKB1R w KQkq - 0 7,https://lichess.org/analysis/rnb1k2r/pp1p1ppp/1q2pB2/8/4P3/5N2/PPP2bPP/RN1QKB1R_w_KQkq_-_0_7
r1bqk2r/ppp3pp/2nb1p2/2P5/8/4BN2/PP2PKPP/RN1Q1B1R b kq - 0 9,https://lichess.org/analysis/r1bqk2r/ppp3pp/2nb1p2/2P5/8/4BN2/PP2PKPP/RN1Q1B1R_b_kq_-_0_9
8/1p6/5rpk/2PK1p1p/5r1P/8/R7/R7 w - - 0 44,https://lichess.org/analysis/8/1p6/5rpk/2PK1p1p/5r1P/8/R7/R7_w_-_-_0_44
r2q1rk1/pb3ppp/1ppbpn2/8/3PP3/P1B5/1P3PPP/2RQKBNR w K - 1 13,https://lichess.org/analysis/r2q1rk1/pb3ppp/1ppbpn2/8/3PP3/P1B5/1P3PPP/2RQKBNR_w_K_-_1_13
rnb1k2r/ppp1qppp/8/4b3/2B1Q3/8/PPP2PPP/RNB1K2R w KQkq - 0 9,https://lichess.org/analysis/rnb1k2r/ppp1qppp/8/4b3/2B1Q3/8/PPP2PPP/RNB1K2R_w_KQkq_-_0_9
rn3k1r/1b3pp1/1q3n2/pN1pp1Np/8/P2PP2P/BPP3P1/R2Q1RK1 w - - 1 15,https://lichess.org/analysis/rn3k1r/1b3pp1/1q3n2/pN1pp1Np/8/P2PP2P/BPP3P1/R2Q1RK1_w_-_-_1_15
rn1qkb1r/pp2pppp/2p2n2/4N3/2BP2b1/6N1/PPP2PPP/R1BQK2R b KQkq - 8 8,https://lichess.org/analysis/rn1qkb1r/pp2pppp/2p2n2/4N3/2BP2b1/6N1/PPP2PPP/R1BQK2R_b_KQkq_-_8_8
r1bqk2r/pp3ppp/2n2b2/2p1p3/3pN3/3P1NP1/PPP1PPBP/R2QK2R w KQkq - 0 9,https://lichess.org/analysis/r1bqk2r/pp3ppp/2n2b2/2p1p3/3pN3/3P1NP1/PPP1PPBP/R2QK2R_w_KQkq_-_0_9
rn2r1k1/ppb2ppp/2pq1B2/3p4/3P4/P1N2B1P/1PP2PP1/R2QR1K1 b - - 0 13,https://lichess.org/analysis/rn2r1k1/ppb2ppp/2pq1B2/3p4/3P4/P1N2B1P/1PP2PP1/R2QR1K1_b_-_-_0_13
r1b1k1nr/1p2ppbp/p1np2p1/q1p5/3P4/1PN1PN1P/PBP2PP1/R2QKB1R w KQkq - 1 8,https://lichess.org/analysis/r1b1k1nr/1p2ppbp/p1np2p1/q1p5/3P4/1PN1PN1P/PBP2PP1/R2QKB1R_w_KQkq_-_1_8
rn1q1rk1/4ppbp/b2p2p1/3P4/4n3/2p2N1P/PPB2PP1/RNBQR1K1 w - - 0 13,https://lichess.org/analysis/rn1q1rk1/4ppbp/b2p2p1/3P4/4n3/2p2N1P/PPB2PP1/RNBQR1K1_w_-_-_0_13
r3kb1r/pp3ppp/2q1p3/3pP3/3n2b1/P4N2/1P1N1PPP/R1BQR1K1 w kq - 0 13,https://lichess.org/analysis/r3kb1r/pp3ppp/2q1p3/3pP3/3n2b1/P4N2/1P1N1PPP/R1BQR1K1_w_kq_-_0_13
rb2k2r/5pp1/bqp1pn2/3P4/7p/1B2BN1P/PP1N1PP1/R2QK2R b KQkq - 0 21,https://lichess.org/analysis/rb2k2r/5pp1/bqp1pn2/3P4/7p/1B2BN1P/PP1N1PP1/R2QK2R_b_KQkq_-_0_21
rnbqk2r/ppppbppp/4p3/8/5Pn1/1P3N2/PBPPP1PP/RN1QKB1R w KQkq - 3 5,https://lichess.org/analysis/rnbqk2r/ppppbppp/4p3/8/5Pn1/1P3N2/PBPPP1PP/RN1QKB1R_w_KQkq_-_3_5
r1b1k1nr/ppp1pp1p/2n3p1/3q4/2P5/6N1/P1PP1PPP/R1BQKB1R b KQkq - 0 7,https://lichess.org/analysis/r1b1k1nr/ppp1pp1p/2n3p1/3q4/2P5/6N1/P1PP1PPP/R1BQKB1R_b_KQkq_-_0_7
r2qkb1r/1b1pnpp1/p1n1p2p/1p2P1B1/4N3/1B3N2/PP3PPP/R2Q1RK1 b kq - 1 11,https://lichess.org/analysis/r2qkb1r/1b1pnpp1/p1n1p2p/1p2P1B1/4N3/1B3N2/PP3PPP/R2Q1RK1_b_kq_-_1_11
1r3rk1/p1n3p1/2b1pq1B/4b3/3p1N2/P2B2QP/1P3PP1/4RRK1 w - - 4 23,https://lichess.org/analysis/1r3rk1/p1n3p1/2b1pq1B/4b3/3p1N2/P2B2QP/1P3PP1/4RRK1_w_-_-_4_23
r2qkbnr/pp1b1ppp/2n5/1Bp5/3p4/5N2/PPPPNPPP/R1BQK2R w KQkq - 2 8,https://lichess.org/analysis/r2qkbnr/pp1b1ppp/2n5/1Bp5/3p4/5N2/PPPPNPPP/R1BQK2R_w_KQkq_-_2_8
r2qk1nr/ppp1b3/2npP2p/6p1/2B2p2/3Q1b2/PPP3PP/RNB2RK1 w kq - 0 12,https://lichess.org/analysis/r2qk1nr/ppp1b3/2npP2p/6p1/2B2p2/3Q1b2/PPP3PP/RNB2RK1_w_kq_-_0_12
rnbq1rk1/p3bppp/1pp1pn2/8/8/1N1BB3/PPP1QPPP/2KR2NR w - - 0 10,https://lichess.org/analysis/rnbq1rk1/p3bppp/1pp1pn2/8/8/1N1BB3/PPP1QPPP/2KR2NR_w_-_-_0_10
r3kb1r/ppq1pp1p/2n2np1/1B2Q3/6b1/2P2N2/PP3PPP/RNBR2K1 b kq - 0 11,https://lichess.org/analysis/r3kb1r/ppq1pp1p/2n2np1/1B2Q3/6b1/2P2N2/PP3PPP/RNBR2K1_b_kq_-_0_11
r1bq1rk1/3pbppp/p4n2/1ppN2B1/4P3/3Q3P/PPP2PP1/2KR1B1R b - - 1 11,https://lichess.org/analysis/r1bq1rk1/3pbppp/p4n2/1ppN2B1/4P3/3Q3P/PPP2PP1/2KR1B1R_b_-_-_1_11
r1q1k1nr/pp2p3/2np4/6P1/2PpPP2/3P2Kb/PP2N1B1/R1B1Q2R b kq - 2 19,https://lichess.org/analysis/r1q1k1nr/pp2p3/2np4/6P1/2PpPP2/3P2Kb/PP2N1B1/R1B1Q2R_b_kq_-_2_19
r2qkb1r/p4ppp/1p2pn2/2Pp4/1n1P4/2N1B3/P3NPPP/R2QK2R w KQkq - 0 11,https://lichess.org/analysis/r2qkb1r/p4ppp/1p2pn2/2Pp4/1n1P4/2N1B3/P3NPPP/R2QK2R_w_KQkq_-_0_11
r3kb1r/ppq1pp1p/2n1b1p1/1B1QN3/3P4/4P3/PP3PPP/R1B1K2R w KQkq - 1 12,https://lichess.org/analysis/r3kb1r/ppq1pp1p/2n1b1p1/1B1QN3/3P4/4P3/PP3PPP/R1B1K2R_w_KQkq_-_1_12
r1bqk2r/pp1n1pb1/4p2p/3p2p1/3P4/4PNB1/PP3PPP/R2QKB1R w KQkq - 0 11,https://lichess.org/analysis/r1bqk2r/pp1n1pb1/4p2p/3p2p1/3P4/4PNB1/PP3PPP/R2QKB1R_w_KQkq_-_0_11
rnbqk1r1/ppp1bppp/8/3pP3/8/2P3Q1/PPP3PP/R1B1KBNR w KQq - 3 8,https://lichess.org/analysis/rnbqk1r1/ppp1bppp/8/3pP3/8/2P3Q1/PPP3PP/R1B1KBNR_w_KQq_-_3_8
r1bqk2r/pp3ppp/3pp2n/2p1P3/5P2/2PP2QP/PP6/nNBK1BNR w kq - 0 12,https://lichess.org/analysis/r1bqk2r/pp3ppp/3pp2n/2p1P3/5P2/2PP2QP/PP6/nNBK1BNR_w_kq_-_0_12
2rq1rk1/pp4bp/2pp2p1/5P2/5B2/2PP2nP/PP4BN/R1Q2RK1 b - - 0 21,https://lichess.org/analysis/2rq1rk1/pp4bp/2pp2p1/5P2/5B2/2PP2nP/PP4BN/R1Q2RK1_b_-_-_0_21
r2qk2r/p4ppp/8/3Q4/2b1n3/5N2/PP3bPP/RNB2K1R w kq - 0 17,https://lichess.org/analysis/r2qk2r/p4ppp/8/3Q4/2b1n3/5N2/PP3bPP/RNB2K1R_w_kq_-_0_17
r1b1k2r/ppp1pp1p/7b/q7/1n1P4/P1NQ1N1P/1PP1P2P/R3KB1R w KQkq - 1 12,https://lichess.org/analysis/r1b1k2r/ppp1pp1p/7b/q7/1n1P4/P1NQ1N1P/1PP1P2P/R3KB1R_w_KQkq_-_1_12
r1b1k2r/pp3pp1/1qn4p/8/3p2n1/4PN2/PPP1B1PP/RNQ2RK1 w kq - 0 12,https://lichess.org/analysis/r1b1k2r/pp3pp1/1qn4p/8/3p2n1/4PN2/PPP1B1PP/RNQ2RK1_w_kq_-_0_12
r2qk1nr/pp3ppp/1n2b3/3p4/1b1PpBP1/2N1P2P/PP2NPB1/R2QK2R b KQkq - 1 10,https://lichess.org/analysis/r2qk1nr/pp3ppp/1n2b3/3p4/1b1PpBP1/2N1P2P/PP2NPB1/R2QK2R_b_KQkq_-_1_10
1k6/p2R1Q2/1p6/4p2p/8/1PK1qP2/6P1/8 w - - 2 32,https://lichess.org/analysis/1k6/p2R1Q2/1p6/4p2p/8/1PK1qP2/6P1/8_w_-_-_2_32
r1b1kb1r/ppppqppp/5n2/1B6/3pP3/8/PPPPNPPP/R1BQK2R w KQkq - 2 7,https://lichess.org/analysis/r1b1kb1r/ppppqppp/5n2/1B6/3pP3/8/PPPPNPPP/R1BQK2R_w_KQkq_-_2_7
r1b2rk1/1pqp1ppp/p3p3/2b5/P1Q1P1n1/2N5/1PP1BPPP/R1B2RK1 w - - 5 12,https://lichess.org/analysis/r1b2rk1/1pqp1ppp/p3p3/2b5/P1Q1P1n1/2N5/1PP1BPPP/R1B2RK1_w_-_-_5_12
r1bqk2r/p1pp1ppp/1p3n2/2b5/4P1n1/1BN3Q1/PPP2PPP/R1B1K1NR w KQkq - 4 9,https://lichess.org/analysis/r1bqk2r/p1pp1ppp/1p3n2/2b5/4P1n1/1BN3Q1/PPP2PPP/R1B1K1NR_w_KQkq_-_4_9
r1b1k2r/p2p2bp/1pn5/3N1pp1/1q6/1P2PN2/P1PQ1PPP/2KR1B1R b kq - 1 15,https://lichess.org/analysis/r1b1k2r/p2p2bp/1pn5/3N1pp1/1q6/1P2PN2/P1PQ1PPP/2KR1B1R_b_kq_-_1_15
r1b1kbnr/ppq2ppp/2n5/1B2p3/3pP3/3P1NN1/PP3PPP/R1BQK2R b KQkq - 0 9,https://lichess.org/analysis/r1b1kbnr/ppq2ppp/2n5/1B2p3/3pP3/3P1NN1/PP3PPP/R1BQK2R_b_KQkq_-_0_9
